Ville,Type,Prix,Prix_annonce_m2,Prix_reference_m2,Décote_%,Rendement_brut,Label,Url
blagnac,Maison,324000.0,3446.81,3912.0,11.89,0.0435,Décote >10%,https://www.bienici.com/annonce/vente/blagnac/maison/5pieces/ag754248-520964483
toulouse,Appartement,239000.0,3103.9,3507.0,11.49,0.0584,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/ag313299-520934912
toulouse,Appartement,169900.0,2674.75,3507.0,23.73,0.0677,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/netty-semenadisse-appt-1030
toulouse,Maison,555000.0,2803.03,4077.0,31.25,0.0544,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/7pieces/ag314213-520203137
toulouse,Appartement,190000.0,3114.75,3507.0,11.18,0.0582,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag060811-519983282
toulouse,Maison,229000.0,2544.44,4077.0,37.59,0.0599,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/hektor-conseillim-14045
toulouse,Maison,480000.0,2944.79,4077.0,27.77,0.0518,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/hektor-conseillim-14304
toulouse,Maison,575000.0,3127.55,4077.0,23.29,0.0487,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/6pieces/hektor-mytoulouse-768
toulouse,Appartement,129000.0,2529.41,3507.0,27.88,0.0716,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/adapt-immo-311895600
toulouse,Appartement,74000.0,2960.0,3507.0,15.6,0.0612,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/1pieces/ag750949-519126557
toulouse,Appartement,85000.0,2726.11,3507.0,22.27,0.0665,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/iad-france-2036116
toulouse,Appartement,162000.0,2810.55,3507.0,19.86,0.0645,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/century-21-202_3118_30217
toulouse,Appartement,129000.0,2731.89,3507.0,22.1,0.0663,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-00178-TAPP967858
toulouse,Appartement,175000.0,2916.67,3507.0,16.83,0.0621,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/iad-france-2002948
toulouse,Appartement,153000.0,2602.93,3507.0,25.78,0.0696,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-20490-TAPP968399
toulouse,Appartement,165000.0,2603.76,3507.0,25.76,0.0696,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/century-21-202_3657_834
